eye_width,face_height,label
226.3103795301098,1296.3892162464172,0
229.35605994658542,1323.315910884472,0
226.48871801588396,1325.275065788231,0
205.390103878881,1192.4030358901305,0
195.58633931961015,1144.0279716860073,0
208.48901087580546,1095.1479352124077,0
280.9097324005528,1624.3558723383248,0
262.8833002747273,1545.3313560528047,0
229.36760887015413,1337.063199702991,0
294.90901196515836,1631.5894091345408,0
202.8008407335701,1155.003896097325,0
292.8533702241188,1639.4639367793363,0
249.1923160996996,1452.6073110101022,0
255.88373536542545,1484.8087418923692,0
240.72245740603523,1388.190548880088,0
224.2060558042985,1281.2439268148746,0
210.72103764804908,1267.0193368690157,0
260.69700981684537,1478.4630533090774,0
223.5257362706763,1284.4769363441292,0
195.63205031986755,1119.197033591494,0
227.37386537142905,1297.240918256898,0
194.41977194989164,1104.0366841731302,0
206.48005751932251,1238.2136326175705,0
200.0657905640428,1148.0853626799708,0
290.7858022401101,1637.3664831063325,0
198.45437047813527,1107.4917606916993,0
277.1852957648181,1647.1672653376766,0
283.89303218385976,1629.0150398323522,0
224.70497281156503,1333.0375088496198,0
194.76586911193488,1160.3878661895772,0
253.36145677483006,1457.099173014658,0
208.24295174429528,1209.0066170207672,0
216.7636699523375,1330.2217860191586,0
258.17114992285906,1508.7322492742044,0
183.1545471926624,1047.0477544028256,0
228.3861168987636,1305.3003485788242,0
210.62600102959797,1239.0004035511854,0
235.40900859508974,1319.3411234400298,0
288.3407079024272,1635.5418062525946,0
206.44441430540274,1251.0195841792406,0
224.5765059523248,1326.2748583909747,0
287.0652477160904,1641.3948336704366,0
235.46229506360476,1285.4236655671157,0
176.77321115514604,1090.5617818353987,0
203.3751097164705,1165.03476342983,0
226.99233392193958,1285.8592457963664,0
203.3438091030659,1192.2835233282392,0
207.34993766744947,1187.0606555690404,0
282.6581973348653,1661.878756107075,0
231.06175088320447,1329.2351184045658,0
171.66884274706126,950.2783802654884,0
165.24975160747476,949.0084298887972,0
166.90434240434,937.034150925141,0
291.97836859421545,1645.255603242244,0
229.40645312039788,1311.514010599963,0
258.92689798303536,1507.260096997197,0
259.67051874622314,1500.0963302401617,0
241.4600476658814,1347.33663202631,0
230.6989742743197,1302.5544134507395,0
242.70585985680623,1357.0747952858014,0
203.89521354263127,1192.2835233282392,0
176.59217075447458,1025.0,0
204.76544516333666,1181.169335870179,0
195.76146759716406,1134.1591599065805,0
210.3185863364547,1199.0066722082909,0
292.9321120268995,1621.7709456023683,0
241.03866100132012,1341.754821120461,0
210.91624644345006,1204.0386206430423,0
186.3326885800043,1070.5722768687783,0
191.41829186202187,1122.0539202729965,0
297.47567920152954,1659.328177305502,0
226.83577956631845,1249.7059654174657,0
164.73384120541127,953.2539011197384,0
289.87638871597153,1662.609094164951,0
243.2091690576774,1420.744875056743,0
159.78897930220467,1087.0662353325115,0
284.8425261158974,1653.5591915622497,0
